# 埼京: 編成情報

#-TypeName: JR東日本 E233 系電車 (7000 番台)
都ハエ101: クハE233-7001, モハE233-7401, モハE232-7401, サハE233-7201, サハE233-7001, モハE233-7001, モハE232-7001, モハE233-7201, モハE232-7201, クハE232-7001
都ハエ118: クハE233-7018, モハE233-7418, モハE232-7418, サハE233-7218, サハE233-7018, モハE233-7018, モハE232-7018, モハE233-7218, モハE232-7218, クハE232-7018
都ハエ119: クハE233-7019, モハE233-7419, モハE232-7419, サハE233-7219, サハE233-7019, モハE233-7019, モハE232-7019, モハE233-7219, モハE232-7219, クハE232-7019
都ハエ120: クハE233-7020, モハE233-7420, モハE232-7420, サハE233-7220, サハE233-7020, モハE233-7020, モハE232-7020, モハE233-7220, モハE232-7220, クハE232-7020
都ハエ121: クハE233-7021, モハE233-7421, モハE232-7421, サハE233-7221, サハE233-7021, モハE233-7021, モハE232-7021, モハE233-7221, モハE232-7221, クハE232-7021
都ハエ122: クハE233-7022, モハE233-7422, モハE232-7422, サハE233-7222, サハE233-7022, モハE233-7022, モハE232-7022, モハE233-7222, モハE232-7222, クハE232-7022
都ハエ123: クハE233-7023, モハE233-7423, モハE232-7423, サハE233-7223, サハE233-7023, モハE233-7023, モハE232-7023, モハE233-7223, モハE232-7223, クハE232-7023
都ハエ124: クハE233-7024, モハE233-7424, モハE232-7424, サハE233-7224, サハE233-7024, モハE233-7024, モハE232-7024, モハE233-7224, モハE232-7224, クハE232-7024
都ハエ125: クハE233-7025, モハE233-7425, モハE232-7425, サハE233-7225, サハE233-7025, モハE233-7025, モハE232-7025, モハE233-7225, モハE232-7225, クハE232-7025
都ハエ126: クハE233-7026, モハE233-7426, モハE232-7426, サハE233-7226, サハE233-7026, モハE233-7026, モハE232-7026, モハE233-7226, モハE232-7226, クハE232-7026
都ハエ127: クハE233-7027, モハE233-7427, モハE232-7427, サハE233-7227, サハE233-7027, モハE233-7027, モハE232-7027, モハE233-7227, モハE232-7227, クハE232-7027
都ハエ128: クハE233-7028, モハE233-7428, モハE232-7428, サハE233-7228, サハE233-7028, モハE233-7028, モハE232-7028, モハE233-7228, モハE232-7228, クハE232-7028
都ハエ129: クハE233-7029, モハE233-7429, モハE232-7429, サハE233-7229, サハE233-7029, モハE233-7029, モハE232-7029, モハE233-7229, モハE232-7229, クハE232-7029
都ハエ130: クハE233-7030, モハE233-7430, モハE232-7430, サハE233-7230, サハE233-7030, モハE233-7030, モハE232-7030, モハE233-7230, モハE232-7230, クハE232-7030
都ハエ131: クハE233-7031, モハE233-7431, モハE232-7431, サハE233-7231, サハE233-7031, モハE233-7031, モハE232-7031, モハE233-7231, モハE232-7231, クハE232-7031
都ハエ132: クハE233-7032, モハE233-7432, モハE232-7432, サハE233-7232, サハE233-7032, モハE233-7032, モハE232-7032, モハE233-7232, モハE232-7232, クハE232-7032
都ハエ133: クハE233-7033, モハE233-7433, モハE232-7433, サハE233-7233, サハE233-7033, モハE233-7033, モハE232-7033, モハE233-7233, モハE232-7233, クハE232-7033
都ハエ134: クハE233-7034, モハE233-7434, モハE232-7434, サハE233-7234, サハE233-7034, モハE233-7034, モハE232-7034, モハE233-7234, モハE232-7234, クハE232-7034
都ハエ135: クハE233-7035, モハE233-7435, モハE232-7435, サハE233-7235, サハE233-7035, モハE233-7035, モハE232-7035, モハE233-7235, モハE232-7235, クハE232-7035
都ハエ136: クハE233-7036, モハE233-7436, モハE232-7436, サハE233-7236, サハE233-7036, モハE233-7036, モハE232-7036, モハE233-7236, モハE232-7236, クハE232-7036
都ハエ137: クハE233-7037, モハE233-7437, モハE232-7437, サハE233-7237, サハE233-7037, モハE233-7037, モハE232-7037, モハE233-7237, モハE232-7237, クハE232-7037
都ハエ138: クハE233-7038, モハE233-7438, モハE232-7438, サハE233-7238, サハE233-7038, モハE233-7038, モハE232-7038, モハE233-7238, モハE232-7238, クハE232-7038
